Código,Imagen,Categoría,Enlace,Name,Precio,Talla,Color
EP_00071,Pantalon Emilia,Pantalon,https://drive.google.com/uc?export=view&id=1S7ae-FkPan2hf6JGQSFldkAWQSMZ4CRL,00071_PANTALON_EMILIA.png,105000,S-M-L-XL,"Amarillo, Rojo, Fucsia Rosado"
EP_00072,Pantalon Cadillac,Pantalon,https://drive.google.com/uc?export=view&id=1qNmP9aWhM2bbTCuBlsqHTR1YhB4oEbFp,00072_PANTALON_CADILLAC.png,125000,L,"Blanco, Cafe, Negro"
EP_00073,Pantalón Londra,Pantalon,https://drive.google.com/uc?export=view&id=1adkSEaBVVL8-uA3fBFSX_YuxfevUuLl1,00073_PANTALÓN_LONDRA.png,125000,M-L,"Blanco, Cafe Claro"
EP_00074,Pantalón Minimal,Pantalon,https://drive.google.com/uc?export=view&id=1vHsb1Vjv5jnjiDhJz64z5-lY7O3rtSn8,00074_PANTALÓN_MINIMAL.png,125000,S-M-L,"Amarillo, Cafe, Azul, Morado"
EP_00075,Pantalón Kilya,Pantalon,https://drive.google.com/uc?export=view&id=1IrD-v1ScDSMuSsRoaqQKLPxyi6z_vmwm,00075_PANTALÓN_KILYA.png,90000,S-M-L,"Fucsia, Rojo"
EP_00076,Pantalón Dutty,Pantalon,https://drive.google.com/uc?export=view&id=1PIZLwpBD_AOPntLUqpXODxfDI6r0PgxA,00076_PANTALÓN_DUTTY.png,115000,S-M,"Morado, Blanco"
EP_00077,Pantalón Rumania,Pantalon,https://drive.google.com/uc?export=view&id=1RkEtAFQixzPdV1J-tlP-DWmSfSrxYnHS,00077_PANTALÓN_RUMANIA.png,125000,M,"Cafe, Blanco, Negro"
EP_00078,Pantalon Petunia,Pantalon,https://drive.google.com/uc?export=view&id=1A09v4IUSwko4idxcBYyaFbL_8BkQ6qWi,00078_PANTALON_PETUNIA.png,80000,S-M,"Blanco, Negro, Verde, Azul, Rosado, Cafe"
EP_00079,Pantalon Make,Pantalon,https://drive.google.com/uc?export=view&id=1qYYLAlCPP8_lb-AQzl8Sb_B-V9P8zzBp,00079_PANTALON_MAKE.png,115000,S-M,"Rojo, Azul, Amarillo, Cafe"
EP_00080,Pantalon Estocolmo,Pantalon,https://drive.google.com/uc?export=view&id=1AdWZ10AyCeSmBfUpF1k_tF1NufcxBgjv,00080_PANTALON_ESTOCOLMO.png,115000,S-M,"Lila, Rosado, Negro, Blanco"
EP_00081,Pantalon 3006,Pantalon,https://drive.google.com/uc?export=view&id=1N00w9u7xy67lRti5jofim44cXwNDWFW1,00081_PANTALON_3006.png,140000,M-L,"Negro, Gris"
EP_00082,Pantalon 3044,Pantalon,https://drive.google.com/uc?export=view&id=1Vh7Kqqz552DerRNDAh1KxqbpcOj70aPD,00082_PANTALON_3044.png,140000,S-M-L,"Negro, Gris"
EP_00083,Pantalon Sam,Pantalon,https://drive.google.com/uc?export=view&id=1QvDMKx0yXnGzQ7AtwD-Nozoc70V0JfPZ,00083_PANTALON_SAM.png,125000,S-M,Verde
EP_00084,Pantalón Freya,Pantalon,https://drive.google.com/uc?export=view&id=1I0Yk791xDht1RLz_6uAHa7mFSWwXiuxc,00084_PANTALÓN_FREYA.png,130000,S-M,"Rosado, Azul, Blanco, Verde"
EP_00085,Pantalón Street,Pantalon,https://drive.google.com/uc?export=view&id=1Ea0fVldEGm51xt1cwI9hN4yTlGoH0T1e,00085_PANTALÓN_STREET.png,125000,S-M-L,"Verde, Azul"
EP_00086,Pantalon Derek,Pantalon,https://drive.google.com/uc?export=view&id=1I4WoarlC2ne2Q9sxZIZ-hKTushhoxQ4U,00086_PANTALON_DEREK.png,125000,S-M-L,"Cafe, Gris, Verde"
EP_00087,Pantalon Grettа,Pantalon,https://drive.google.com/uc?export=view&id=1rBHioiTLF964h2i4ogcLZDCSYCviZ7W3,00087_PANTALON_GRETTА.png,110000,S-M-L,"Verde, Morado, Fucsia, Lila, Amarillo, Naranja"
EP_00088,Pantalon Studiо,Pantalon,https://drive.google.com/uc?export=view&id=1755c1Kph7j0lCdGzHvtU3R1vxC2yLhHf,00088_PANTALON_STUDIО.png,105000,S-M-L,Gris
EP_00089,Pantalón Londres,Pantalon,https://drive.google.com/uc?export=view&id=1I3zMfMOR9-empRVStVWHKqgPxfZtzRAr,00089_PANTALÓN_LONDRES.png,150000,S-M-L,"Amarillo, Verde, Marron, Lila, Azul"
EP_00090,Pantalón Resort,Pantalon,https://drive.google.com/uc?export=view&id=1amzes-neCRzJhBgaV7Ic6SmhGlycpT_o,00090_PANTALÓN_RESORT.png,105000,S-M-L,"Blanco, Amarillo, Verde, Morado"
EP_00091,Pantalon Criquet,Pantalon,https://drive.google.com/uc?export=view&id=1GSin4ESJR6OyHo9y256s0Bi01fFWtEGR,00091_PANTALON_CRIQUET.png,125000,S-M-L,"Blanco, Negro, Fucsia, Verde"
EP_00092,Cargo Metalizado,Cargos,https://drive.google.com/uc?export=view&id=1fmEWruC4Bmt7vq4q3GAefZAzjuurxEK1,00092_CARGO_METALIZADO.png,160000,S-M-L,"Negro, Blanco"
EP_00093,Cargo Bad,Cargos,https://drive.google.com/uc?export=view&id=1WE5USgTtiVaCJnYVLB-C8Jue5vbzTlBl,00093_CARGO_BAD.png,150000,S-M-L,Azul
EP_00094,Pantalón Adele,Pantalon,https://drive.google.com/uc?export=view&id=1erxBf3hndMVMFy_C_z83zAEa3g_gUPne,00094_PANTALÓN_ADELE.png,150000,S-M,"Cafe Oscuro, Cafe Claro"
EP_00095,Leggins Funguees,Leggins,https://drive.google.com/uc?export=view&id=15lLp8VA5F4svqm4uoraorQy-L-KAK-E7,00095_LEGGINS_FUNGUEES.png,100000,XS-S-M,"Negro, Cafe"
EP_00096,Leggins Siluet,Leggins,https://drive.google.com/uc?export=view&id=17lWNXsCzwxV0aFCT6euQFaQPlwZyz-kv,00096_LEGGINS_SILUET.png,100000,S-M-L,Negro
EP_00097,Leggins King,Leggins,https://drive.google.com/uc?export=view&id=1y8FZv3GPGg5qShNxHAnKZsHiKNkcb0ju,00097_LEGGINS_KING.png,95000,L,Negro
EP_00098,Falda Midi Jean,Falda,https://drive.google.com/uc?export=view&id=1Id7KxPSp5z3IoQVMCx3SNSzJ8kRrZD1m,00098_FALDA_MIDI_JEAN.png,105000,S-M,Jean
EP_00099,Falda Rosana,Falda,https://drive.google.com/uc?export=view&id=1LYhtlCU7clteVyhbjJ2sa0rwKobV6IVg,00099_FALDA_ROSANA.png,75000,S-M,"Marron, Negro, Rojo, Rosado, Blanco"
EP_00100,Falda Shine,Falda,https://drive.google.com/uc?export=view&id=1oOlL2ifBWyuBUOvtvFLBkO9K7inpKxtp,00100_FALDA_SHINE.png,85000,S-M-L,Plateado
EP_00101,Falda Globo,Falda,https://drive.google.com/uc?export=view&id=1awTh3bUKg1tjG7eCVrlniw9gx2Pe7WLq,00101_FALDA_GLOBO.png,90000,Única,"Verde Militar, Azul, Lunares, Azul Flores"
EP_00102,Falda Short Venecia,Falda,https://drive.google.com/uc?export=view&id=1Yif9Aw7fUw4z1Pbk7QPOJT0wgm4owTrA,00102_FALDA_SHORT_VENECIA.png,85000,S-M-L,"Verde, Rosado, Cafe"
EP_00103,Falda Escoses,Falda,https://drive.google.com/uc?export=view&id=1t_LDKSjYkmCoDADFnRCYhsPowWskQcQ-,00103_FALDA_ESCOSES.png,85000,S-M-L,"Azul Rojo, Cafe, Azul"
EP_00104,Falda Short Ayto,Falda,https://drive.google.com/uc?export=view&id=1sbPfp9Jq_SukrK-ws43DVmYvzeib8tuM,00104_FALDA_SHORT_AYTO.png,85000,S-M-L,"Cafe, Negro, Verde"
EP_00105,Falda Short Valkiria,Falda,https://drive.google.com/uc?export=view&id=1bNGs5TeSD1tJlltehmHUtWFNGQdupX8O,00105_FALDA_SHORT_VALKIRIA.png,85000,S-M-L,"Verde, Naranja, Rojo, Negro"
EP_00106,Falda Naomi,Falda,https://drive.google.com/uc?export=view&id=1WDF2551aZ_nA9Y6mwKhtS-nvhCygM5OM,00106_FALDA_NAOMI.png,80000,S-M-L,"Naranja Florez, Rosado Flores, Negro Flores, Rojo Flores"
EP_00107,Falda Soft,Falda,https://drive.google.com/uc?export=view&id=1WqFoqJYoouhRmy0CS57IodLRO8q0E7pn,00107_FALDA_SOFT.png,125000,S-M-L,"Negro, Beige"
EP_00108,Falda Delirio,Falda,https://drive.google.com/uc?export=view&id=1CKb1ayJNMhL9qZG_Stk2a2MrDmvRPfF3,00108_FALDA_DELIRIO.png,100000,S-M-L,"Negro, Blanco, Amarillo, Azul, Marron, Rosado"
EP_00109,Falda Plizada South,Falda,https://drive.google.com/uc?export=view&id=1bnJkjcsyJXvcQ-C26dl0pWhwNOXyz8G6,00109_FALDA_PLIZADA_SOUTH.png,80000,Única,"Amarillo, Cafe"
EP_00110,Abrigo 8613,Abrigo,https://drive.google.com/uc?export=view&id=1MphKy-_DCCqVFHc_UE_ym6BaBByKmqEn,00110_ABRIGO_8613.png,230000,Única,Gris
EP_00111,Abrigo Ruffle,Abrigo,https://drive.google.com/uc?export=view&id=1jskrFuPyh1cy3XDUZ0uitxXvJK_xJEhM,00111_ABRIGO_RUFFLE.png,185000,S-M-L,"Cafe Cuadros, Rosado Cuadros, Gris Cuadros"
EP_00112,Gabán Petit,Gaban,https://drive.google.com/uc?export=view&id=1k7xa-WNtlGFiCqMZD1M9_22DnVS7dUeS,00112_GABÁN_PETIT.png,175000,L,"Naranja, Rojo, Negro, Gris, Rosado"
EP_00113,Gabán Noriel,Gaban,https://drive.google.com/uc?export=view&id=1rv5dzqYKJl2yRZrRCLFTecLboejVgqKM,00113_GABÁN_NORIEL.png,175000,S-M-L,Rosado
EP_00114,Gabán Chicago,Gaban,https://drive.google.com/uc?export=view&id=1Edfn4AvdU-gcLUiFB8KyWROKd_Td0X5J,00114_GABÁN_CHICAGO.png,235000,S-M-L,Cafe
EP_00115,Gabán Verona,Gaban,https://drive.google.com/uc?export=view&id=1NU9bYntFF2p_TgGE3YZmP64rrYBQzavr,00115_GABÁN_VERONA.png,235000,S-M-L,Marron
EP_00116,Gabán Sebert,Gaban,https://drive.google.com/uc?export=view&id=1FmVfs-kS-9fnjwnNwuOcZTOCj7uoVeHZ,00116_GABÁN_SEBERT.png,195000,S-M,Negro
EP_00117,Gabán Rosario,Gaban,https://drive.google.com/uc?export=view&id=19yzQ7OrgfMXhXsLiD-Jilg87yrmMvL8h,00117_GABÁN_ROSARIO.png,220000,S-M,-
EP_00118,Gabardina Tuchе,Gaban,https://drive.google.com/uc?export=view&id=1HWJGaedeEkzga59qrfEWnw-Z4gIT4mR0,00118_GABARDINA_TUCHЕ.png,145000,Única,"Rosado, Negro, Azul, Blanco, Beige"
EP_00119,Gabardina Miel,Gaban,https://drive.google.com/uc?export=view&id=1km2weHEGAc5sZEXCfXmUV1MwZ8i9rz4W,00119_GABARDINA_MIEL.png,120000,Única,Negro
